CB1	CB2	Jaccard_score
20167_75937_144617	75937_20167_236281	0.666667
20167_75937_144617	50227_236437_144617	0.333333
20167_236281_212118	20167_75937_144617	0.540541
20167_75937_144617	75937_144617_236437	0.960000
20167_75937_144617	243422_243285_243824	0.281250
100303_236437_144617	20167_75937_144617	0.481481
20167_75937_144617	84124_100303_236437	0.406250
112673_212118_236281	20167_75937_144617	0.307692
115091_112673_212118	20167_75937_144617	0.269231
20167_75937_240523	75937_240523_236437	0.900000
20167_236281_201439	42156_75856_243824	0.272727
20167_236281_201439	75856_42156_193134	0.250000
193134_20165_228768	20167_236281_201439	0.300000
20167_236281_201439	50246_153524_201079	0.250000
134996_51400_212530	20167_236281_201439	0.250000
20167_236281_201439	51400_212530_134997	0.250000
20167_236281_212118	75937_20167_236281	0.864865
20167_236281_212118	75937_144617_236437	0.526316
100303_236437_144617	20167_236281_212118	0.324324
20167_236281_212118	84124_100303_236437	0.459459
112673_212118_236281	20167_236281_212118	0.303030
115091_112673_212118	20167_236281_212118	0.272727
20227_229014_107467	93383_32601_190390	0.400000
20227_229014_107467	32601_93383_172588	0.363636
20273_190390_32601	32597_200935_55574	0.250000
100126_20274_107647	20274_100126_176731	0.428571
20274_100126_176731	28838_122939_144617	0.250000
100126_176731_107646	20274_100126_176731	0.666667
100126_193381_107646	20274_100126_193381	0.750000
20274_100126_193381	76380_107646_193381	0.500000
20411_47175_47174	47175_20411_144956	0.277778
20411_47175_47174	47174_143486_134855	0.653846
20411_47175_47174	47175_47174_143486	0.772727
134855_75847_200959	20411_47175_47174	0.470588
20411_47175_47174	75847_200959_151700	0.322581
20411_47175_47174	75847_134855_143486	0.470588
20448_228452_22031	60804_50308_176369	0.333333
20448_228452_22031	50308_176369_68597	0.272727
176368_22031_228452	20448_228452_22031	0.363636
20517_169143_228537	75051_228537_169143	0.500000
